Section,Subsection,Task,Hours,Rate (IDR),Value (IDR)

"1. CORE INFRASTRUCTURE & SECURITY",,,,,"135,000,000"

"1.1 Next.js 16 Application Setup",,"Project initialization & configuration",4,"750,000","3,000,000"
"1.1 Next.js 16 Application Setup",,"App Router architecture design",8,"750,000","6,000,000"
"1.1 Next.js 16 Application Setup",,"TypeScript configuration & types",6,"750,000","4,500,000"
"1.1 Next.js 16 Application Setup",,"Environment variables setup",2,"750,000","1,500,000"
"1.1 Next.js 16 Application Setup",,"PWA manifest & service worker",8,"750,000","6,000,000"
"1.1 Next.js 16 Application Setup","Subtotal",,28,,"21,000,000"

"1.2 Supabase Database Design (13 Tables)",,"Database schema design",16,"750,000","12,000,000"
"1.2 Supabase Database Design (13 Tables)",,"master_programs table",4,"750,000","3,000,000"
"1.2 Supabase Database Design (13 Tables)",,"program_progress table",4,"750,000","3,000,000"
"1.2 Supabase Database Design (13 Tables)",,"hse_kpi_years table",3,"750,000","2,250,000"
"1.2 Supabase Database Design (13 Tables)",,"hse_kpi_metrics table",3,"750,000","2,250,000"
"1.2 Supabase Database Design (13 Tables)",,"matrix_programs table",4,"750,000","3,000,000"
"1.2 Supabase Database Design (13 Tables)",,"hse_tasks table",6,"750,000","4,500,000"
"1.2 Supabase Database Design (13 Tables)",,"task_attachments table",3,"750,000","2,250,000"
"1.2 Supabase Database Design (13 Tables)",,"audit_logs table",6,"750,000","4,500,000"
"1.2 Supabase Database Design (13 Tables)",,"safety_moments table",4,"750,000","3,000,000"
"1.2 Supabase Database Design (13 Tables)",,"safety_moment_interactions table",3,"750,000","2,250,000"
"1.2 Supabase Database Design (13 Tables)",,"safety_moment_comments table",3,"750,000","2,250,000"
"1.2 Supabase Database Design (13 Tables)",,"notification_logs table",4,"750,000","3,000,000"
"1.2 Supabase Database Design (13 Tables)",,"user_settings table",3,"750,000","2,250,000"
"1.2 Supabase Database Design (13 Tables)",,"Database triggers & functions",12,"750,000","9,000,000"
"1.2 Supabase Database Design (13 Tables)","Subtotal",,78,,"58,500,000"

"1.3 Row Level Security (RLS) Policies",,"RLS policy design",8,"750,000","6,000,000"
"1.3 Row Level Security (RLS) Policies",,"Admin role policies",4,"750,000","3,000,000"
